2017-05-19T18.51.09.789,2,BadaBoom
2017-05-19T18.51.18.067,1,porsche_911
2017-05-19T18.51.31.369,1,porsche_911
2017-05-19T18.51.51.102,1,mazda_mx-5_nd
2017-05-19T18.57.44.05,1,mazda_mx-5_nd
2017-05-19T18.57.49.899,3,50.005881,8.308072,0.3763049
2017-05-19T18.57.54.9,3,50.005823,8.30807,0.38275579
2017-05-19T18.57.58.868,3,50.005783,8.308134,0.38913567
2017-05-19T18.58.01.932,3,50.005781,8.308209,0.39450024
2017-05-19T18.58.05.92,3,50.005796,8.308291,0.4005932
2017-05-19T18.58.09.919,3,50.005806,8.308375,0.40669846
2017-05-19T18.58.13.907,3,50.005815,8.308455,0.41250267
2017-05-19T18.58.17.891,3,50.005826,8.308535,0.41834933
2017-05-19T18.58.21.891,3,50.005844,8.308608,0.42393712
2017-05-19T18.58.25.888,3,50.005863,8.30868,0.42949951
2017-05-19T18.58.29.895,3,50.005882,8.308752,0.43506191
2017-05-19T18.58.33.891,3,50.00591,8.30881,0.440246
2017-05-19T18.58.39.963,1,porsche_911
2017-05-19T18.58.41.895,3,50.005936,8.308866,0.44518311
2017-05-19T18.58.47.891,3,50.005977,8.308925,0.45139303
2017-05-19T18.58.51.887,3,50.006011,8.30898,0.45684674
2017-05-19T18.58.54.922,1,porsche_911
2017-05-19T18.58.57.875,3,50.006055,8.309028,0.46282208
2017-05-19T18.59.01.891,3,50.006096,8.309067,0.46816555
2017-05-19T18.59.03.181,1,porsche_911
2017-05-19T18.59.08.875,3,50.006132,8.309137,0.47457258
2017-05-19T18.59.12.887,3,50.006174,8.3092,0.48105962
2017-05-19T18.59.16.891,3,50.00621,8.309265,0.48719171
2017-05-19T18.59.20.887,3,50.006237,8.309333,0.49290396
2017-05-19T18.59.23.31,1,mazda_mx-5_nd
2017-05-19T18.59.25.927,3,50.00628,8.309366,0.49823533
2017-05-19T18.59.29.892,3,50.006316,8.309415,0.50355386
2017-05-19T18.59.34.895,3,50.006352,8.309481,0.50974026
2017-05-19T18.59.36.751,1,mazda_mx-5_nd
2017-05-19T18.59.38.887,3,50.006386,8.309529,0.51484519
2017-05-19T18.59.42.895,3,50.006422,8.30958,0.52025889
2017-05-19T18.59.47.661,1,vw_kaefer
2017-05-19T18.59.47.876,3,50.006445,8.30964,0.52525157
2017-05-19T18.59.52.875,3,50.006481,8.309702,0.53122288
2017-05-19T18.59.56.927,3,50.006506,8.309761,0.53627323
2017-05-19T19.00.00.168,1,mazda_mx-5_nd
2017-05-19T19.00.03.963,3,50.006538,8.309815,0.5415224
2017-05-19T19.00.07.927,3,50.006568,8.309875,0.54695507
2017-05-19T19.00.11.907,3,50.0066,8.309936,0.55258225
2017-05-19T19.00.15.927,3,50.006633,8.309994,0.55811808
2017-05-19T19.00.19.887,3,50.00667,8.310063,0.56454009
2017-05-19T19.00.23.934,3,50.00671,8.310121,0.57061986
2017-05-19T19.00.28.894,3,50.006743,8.310174,0.57589346
2017-05-19T19.00.30.912,1,mazda_mx-5_nd
2017-05-19T19.00.35.891,3,50.006754,8.310252,0.58160033
2017-05-19T19.00.39.902,3,50.006769,8.310328,0.58728198
2017-05-19T19.00.43.888,3,50.006793,8.310403,0.59326945
2017-05-19T19.00.47.887,3,50.006792,8.31048,0.59877335
2017-05-19T19.00.50.921,3,50.006763,8.310534,0.60380236
2017-05-19T19.00.53.919,3,50.006731,8.310585,0.60889597
2017-05-19T19.00.56.875,3,50.0067,8.310636,0.61391254
2017-05-19T19.00.59.891,3,50.006659,8.310671,0.61911261
2017-05-19T19.01.03.939,3,50.006601,8.310686,0.6256504
2017-05-19T19.01.07.897,3,50.006551,8.310718,0.6316621
2017-05-19T19.01.11.907,3,50.006505,8.31075,0.63726502
2017-05-19T19.01.20.656,1,vw_polo_9n3
2017-05-19T19.01.28.619,1,mazda_mx-5_nd
2017-05-19T19.01.34.723,1,vw_kaefer
2017-05-19T19.01.43.55,1,vw_kaefer
2017-05-19T19.01.47.899,1,mazda_mx-5_nd
2017-05-19T19.01.52.286,1,mazda_mx-5_nd
2017-05-19T19.01.55.04,1,mazda_mx-5_nd
2017-05-19T19.01.58.221,1,mazda_mx-5_nd
2017-05-19T19.02.04.718,1,mazda_mx-5_nd
2017-05-19T19.02.12.785,1,vw_kaefer
2017-05-19T19.02.26.498,3,50.006458,8.310762,0.64256108
