2017-05-20T19.17.49.757,2,jh
2017-05-20T19.20.31.254,3,49.87285,8.15119,0
2017-05-20T19.20.34.045,1,porsche_911
2017-05-20T19.21.17.355,1,opel_corsa_d
2017-05-20T19.21.42.368,3,49.872832,8.151125,0.00506994
2017-05-20T19.22.08.644,1,vw_kaefer
2017-05-20T19.23.42.277,3,49.872854,8.151201,0.01104053
2017-05-20T19.23.45.264,3,49.872895,8.151248,0.01670878
2017-05-20T19.27.54.273,3,49.872907,8.151333,0.02294461
2017-05-20T19.28.15.285,3,49.872896,8.151257,0.02852669
2017-05-20T19.29.03.281,3,49.872963,8.151236,0.03612723
2017-05-20T19.29.05.373,3,49.873002,8.151149,0.04372182
2017-05-20T19.29.07.281,3,49.873001,8.151072,0.04924102
2017-05-20T19.29.11.277,3,49.872952,8.151034,0.05533221
2017-05-20T19.29.14.281,3,49.872932,8.151113,0.06141475
2017-05-20T19.29.45.374,3,49.8729,8.151057,0.06677819
2017-05-20T19.29.45.793,3,49.872868,8.151288,0.08371055
2017-05-20T19.29.47.856,3,49.8729,8.151057,0.10064292
2017-05-20T19.29.48.153,3,49.8729,8.151216,0.11203742
