2017-05-09T20.46.05.724,2,jjj
2017-05-09T20.47.31.523,3,49.984517,8.176465,0.12320088
2017-05-09T20.47.32.519,3,49.984527,8.176469,0.12434901
2017-05-09T20.47.33.524,3,49.984537,8.176472,0.12548146
2017-05-09T20.47.34.526,3,49.984549,8.176472,0.1268158
2017-05-09T20.47.35.523,3,49.984562,8.176466,0.12832365
2017-05-09T20.47.36.528,3,49.984575,8.176456,0.12993633
2017-05-09T20.47.37.519,3,49.984587,8.176444,0.13152271
2017-05-09T20.47.38.519,3,49.984603,8.176441,0.13331471
2017-05-09T20.47.39.523,3,49.98462,8.176442,0.13520637
2017-05-09T20.47.40.515,3,49.984636,8.176449,0.13705455
2017-05-09T20.47.41.519,3,49.98465,8.176455,0.1386693
2017-05-09T20.47.42.523,3,49.984662,8.176458,0.14002077
2017-05-09T20.47.43.523,3,49.984675,8.176458,0.1414663
2017-05-09T20.47.44.527,3,49.984689,8.176457,0.14302467
2017-05-09T20.47.45.543,3,49.984705,8.176452,0.14483935
2017-05-09T20.47.46.583,3,49.984718,8.176442,0.14645204
2017-05-09T20.47.47.535,3,49.98473,8.176428,0.14812009
2017-05-09T20.47.56.332,3,49.984739,8.176408,0.14986544
2017-05-09T20.47.56.333,3,49.984744,8.176383,0.15173735
2017-05-09T20.47.56.333,3,49.984748,8.176357,0.15364875
2017-05-09T20.47.56.341,3,49.984751,8.176333,0.15539681
2017-05-09T20.47.56.348,3,49.984754,8.176309,0.15714488
2017-05-09T20.47.56.348,3,49.984756,8.176283,0.15901706
2017-05-09T20.47.56.35,3,49.984757,8.176258,0.16080795
2017-05-09T20.47.56.35,3,49.984759,8.176232,0.16268014
2017-05-09T20.47.56.511,3,49.98476,8.176207,0.16447103
2017-05-09T20.47.57.52,3,49.984763,8.176183,0.16621909
2017-05-09T20.47.58.543,3,49.984766,8.17616,0.16789702
2017-05-09T20.47.59.536,3,49.984769,8.17614,0.16936537
2017-05-09T20.48.00.555,3,49.984773,8.176122,0.17072701
2017-05-09T20.48.01.515,3,49.984776,8.176101,0.17226507
2017-05-09T20.48.02.527,3,49.98478,8.176078,0.17396859
2017-05-09T20.48.03.52,3,49.984784,8.176054,0.17574124
2017-05-09T20.48.04.527,3,49.984788,8.176034,0.17723876
2017-05-09T20.48.05.527,3,49.984792,8.176015,0.17866817
2017-05-09T20.48.06.519,3,49.984797,8.175994,0.18026925
2017-05-09T20.48.07.515,3,49.984804,8.175972,0.18202424
2017-05-09T20.48.08.527,3,49.984811,8.175952,0.1836523
2017-05-09T20.48.09.526,3,49.98482,8.175935,0.18522674
2017-05-09T20.48.10.527,3,49.984829,8.175919,0.18674665
2017-05-09T20.48.11.523,3,49.984839,8.175902,0.188394
2017-05-09T20.48.12.539,3,49.984846,8.175885,0.18983732
2017-05-09T20.48.13.507,3,49.984852,8.175865,0.19141525
2017-05-09T20.48.14.52,3,49.984856,8.175846,0.19284466
2017-05-09T20.48.15.543,3,49.984861,8.175829,0.19418124
2017-05-09T20.48.16.596,3,49.984863,8.175812,0.19541687
2017-05-09T20.48.17.575,3,49.984863,8.1758,0.19627483
2017-05-09T20.48.18.523,3,49.98486,8.175795,0.19676379
2017-05-09T20.48.19.523,3,49.984858,8.175794,0.19699739
2017-05-09T20.48.20.515,3,49.984857,8.175781,0.19793348
2017-05-09T20.48.21.516,3,49.98486,8.175763,0.19926296
2017-05-09T20.48.22.515,3,49.984864,8.175748,0.20042399
2017-05-09T20.48.23.503,3,49.984868,8.175737,0.20132752
2017-05-09T20.48.24.528,3,49.984872,8.175736,0.20177801
2017-05-09T20.48.25.479,3,49.984876,8.175741,0.20234864
2017-05-09T20.48.26.524,3,49.984879,8.175749,0.20301079
2017-05-09T20.48.27.504,3,49.984881,8.175757,0.20362448
2017-05-09T20.48.28.555,3,49.984883,8.175765,0.20423817
2017-05-09T20.48.29.599,3,49.984886,8.175771,0.20478159
2017-05-09T20.48.30.523,3,49.984888,8.175777,0.20526479
2017-05-09T20.48.31.563,3,49.984891,8.175783,0.20580821
2017-05-09T20.48.32.583,3,49.984892,8.175788,0.20618259
2017-05-09T20.48.33.515,3,49.984895,8.175795,0.20678406
2017-05-09T20.48.34.511,3,49.984899,8.175802,0.20745362
