2017-05-09T15.17.47.967, 2, jjj
2017-05-09T15.17.50.822, 3, 49.987, 8.176, 5,612.476
2017-05-09T15.17.51.81, 3, 49.987, 8.176, 5,612.481
2017-05-09T15.17.52.814, 3, 49.987, 8.176, 5,612.487
2017-05-09T15.17.53.846, 3, 49.987, 8.176, 5,612.502
2017-05-09T15.18.04.892, 3, 49.987, 8.176, 5,612.511
2017-05-09T15.18.05.854, 3, 49.987, 8.176, 5,612.515
2017-05-09T15.18.06.868, 3, 49.987, 8.176, 5,612.518
2017-05-09T15.18.07.866, 3, 49.987, 8.176, 5,612.52
2017-05-09T15.18.09.871, 3, 49.987, 8.176, 5,612.525
2017-05-09T15.18.10.85, 3, 49.987, 8.176, 5,612.527
2017-05-09T15.18.11.84, 3, 49.987, 8.176, 5,612.528
2017-05-09T15.18.12.814, 3, 49.987, 8.176, 5,612.529
2017-05-09T15.18.13.85, 3, 49.987, 8.176, 5,612.53
2017-05-09T15.18.14.846, 3, 49.987, 8.176, 5,612.531
2017-05-09T15.18.15.848, 3, 49.987, 8.176, 5,612.533
2017-05-09T15.18.16.852, 3, 49.987, 8.176, 5,612.534
2017-05-09T15.18.17.852, 3, 49.987, 8.176, 5,612.535
2017-05-09T15.18.18.838, 3, 49.987, 8.176, 5,612.536
2017-05-09T15.18.19.84, 3, 49.987, 8.176, 5,612.537
2017-05-09T15.18.20.845, 3, 49.987, 8.176, 5,612.537
